City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Cidreira,BR,-30.1811,-50.2056,86.76,48,5,6.73,clear sky
146,Sorland,NO,67.667,12.6934,37.4,65,90,9.22,overcast clouds
147,Carnarvon,AU,-24.8667,113.6333,78.8,100,75,12.66,broken clouds
148,Molodizhne,UA,48.1773,32.6601,60.8,21,0,11.18,clear sky
149,Hermanus,ZA,-34.4187,19.2345,71.01,77,100,1.99,overcast clouds
150,Westport,US,41.1415,-73.3579,57.0,94,90,11.5,fog
151,Tura,IN,25.5198,90.2201,79.36,41,35,4.74,scattered clouds
152,Dzilam Gonzalez,MX,21.2833,-88.9333,88.77,53,18,9.93,few clouds
153,Norman Wells,CA,65.282,-126.8329,-29.2,75,1,4.61,clear sky
154,Victoria,HK,22.2855,114.1577,73.0,82,15,1.01,few clouds
155,Yellowknife,CA,62.456,-114.3525,-9.4,77,75,6.91,broken clouds
156,Khani,GE,41.9563,42.9566,46.4,93,90,6.91,overcast clouds
157,Fort Nelson,CA,58.8053,-122.7002,14.0,73,75,3.53,broken clouds
158,Ponta Do Sol,PT,32.6667,-17.1,64.0,68,96,4.0,overcast clouds
159,Sitka,US,57.0531,-135.33,33.8,75,90,3.44,light snow
160,Numan,NG,9.4667,12.0333,108.34,15,79,3.06,broken clouds
161,Ketchikan,US,55.3422,-131.6461,30.2,100,75,1.41,broken clouds
162,Khatanga,RU,71.9667,102.5,22.14,90,85,14.79,overcast clouds
163,Aklavik,CA,68.2191,-135.0107,-20.2,76,1,4.61,clear sky
164,Olafsvik,IS,64.8945,-23.7142,36.41,98,100,16.08,light rain
165,Coquimbo,CL,-29.9533,-71.3436,62.6,67,0,12.66,clear sky
166,Kruisfontein,ZA,-34.0033,24.7314,72.0,59,100,1.01,overcast clouds
167,Katsuura,JP,35.1333,140.3,55.4,76,20,8.05,few clouds
168,Skala,PL,50.2305,19.8536,59.0,44,40,13.8,light rain
169,Ailigandi,PA,9.2333,-78.0167,83.82,69,97,3.06,overcast clouds
170,Williston,US,48.147,-103.618,39.99,89,100,3.0,overcast clouds
171,Labuhan,ID,-6.8844,112.2051,79.45,81,90,1.97,overcast clouds
172,Skibbereen,IE,51.55,-9.2667,46.4,36,40,11.5,scattered clouds
173,Sopelana,ES,43.3789,-2.9831,52.0,81,75,10.36,broken clouds
174,Tuatapere,NZ,-46.1333,167.6833,46.99,96,10,3.0,clear sky
175,San Juan De Los Morros,VE,9.9115,-67.3538,80.6,46,69,3.44,broken clouds
176,Kavaratti,IN,10.5669,72.642,84.0,67,16,7.27,few clouds
177,Yagodnoye,RU,62.55,149.6667,-11.54,98,100,3.2,overcast clouds
178,Tiksi,RU,71.6872,128.8694,-2.31,81,92,5.77,overcast clouds
179,Namatanai,PG,-3.6667,152.4333,75.83,93,100,4.74,moderate rain
180,Jinchang,CN,38.4953,102.1739,48.29,60,95,4.88,overcast clouds
181,Brae,GB,60.3964,-1.353,41.0,60,20,12.66,few clouds
182,Lagos,NG,6.5833,3.75,91.4,62,20,2.3,few clouds
183,Kavieng,PG,-2.5744,150.7967,80.44,78,100,4.07,moderate rain
184,Rio Grande,BR,-32.035,-52.0986,75.2,78,75,14.97,broken clouds
185,Bihoro,JP,43.8228,144.1044,37.0,61,4,5.99,clear sky
186,Malinyi,TZ,-8.9333,36.1333,76.71,90,86,1.45,light rain
187,Xai-Xai,MZ,-25.0519,33.6442,78.46,69,0,9.55,clear sky
