City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Olafsvik,IS,2021-04-08 01:12:47,64.8945,-23.7142,27.64,75,100,43.71
136,Natchitoches,US,2021-04-08 01:14:37,31.7668,-93.1335,64.4,100,75,7.67
137,Srednekolymsk,RU,2021-04-08 01:14:37,67.45,153.6833,9.37,79,85,3.74
138,Grants,US,2021-04-08 01:14:38,35.1473,-107.8514,62.6,7,1,14.97
139,Kaitangata,NZ,2021-04-08 01:08:07,-46.2817,169.8464,64.0,60,8,5.99
140,Adrar,MR,2021-04-08 01:14:38,20.5022,-10.0711,76.42,21,5,10.8
141,Hilo,US,2021-04-08 01:06:17,19.7297,-155.09,77.0,57,20,12.66
142,Usinsk,RU,2021-04-08 01:14:38,65.9939,57.5281,28.27,94,99,5.53
143,Bastrop,US,2021-04-08 01:14:39,32.7562,-91.8724,69.01,94,90,8.05
144,Bahia Blanca,AR,2021-04-08 01:14:39,-38.7196,-62.2724,68.27,89,100,7.16
145,Klyuchi,RU,2021-04-08 01:14:39,52.2667,79.1667,37.18,80,100,3.11
146,Sisophon,KH,2021-04-08 01:14:39,13.5859,102.9737,83.3,67,96,6.24
147,Constitucion,CL,2021-04-08 01:07:53,-35.3333,-72.4167,55.58,83,63,8.03
148,Windhoek,NA,2021-04-08 01:14:40,-22.5594,17.0832,61.0,82,0,6.91
149,Ancud,CL,2021-04-08 01:08:15,-41.8697,-73.8203,54.0,88,100,11.01
150,Maryborough,AU,2021-04-08 01:14:40,-25.5333,152.7,80.01,67,0,5.01
151,Los Llanos De Aridane,ES,2021-04-08 01:14:41,28.6585,-17.9182,68.0,88,75,6.91
152,Bellingham,US,2021-04-08 01:14:41,48.7595,-122.4882,45.0,93,90,9.22
153,Carnarvon,AU,2021-04-08 01:07:23,-24.8667,113.6333,78.8,61,5,23.02
154,Lagunas,PE,2021-04-08 01:14:41,-5.2269,-75.6753,73.22,99,95,2.66
155,Iqaluit,CA,2021-04-08 01:07:54,63.7506,-68.5145,33.8,93,90,28.77
156,Lhokseumawe,ID,2021-04-08 01:14:42,5.1801,97.1507,78.48,83,99,3.11
157,Russell,US,2021-04-08 01:14:42,32.3502,-85.1999,73.4,68,1,4.61
158,Provideniya,RU,2021-04-08 01:08:03,64.3833,-173.3,5.0,66,0,4.47
159,Victoria,HK,2021-04-08 01:05:57,22.2855,114.1577,75.0,79,96,1.01
160,Makakilo City,US,2021-04-08 01:14:42,21.3469,-158.0858,78.8,53,75,13.8
161,Northam,GB,2021-04-08 01:14:43,51.0333,-4.2167,41.0,83,95,5.99
162,Mar Del Plata,AR,2021-04-08 01:07:43,-38.0023,-57.5575,71.6,83,1,9.22
163,Faanui,PF,2021-04-08 01:08:11,-16.4833,-151.75,81.36,68,62,13.24
164,Harper,LR,2021-04-08 01:14:43,4.375,-7.7169,79.72,86,64,4.09
165,Sugod,PH,2021-04-08 01:14:44,12.987,124.0805,80.73,71,57,8.48
166,Rosetta,EG,2021-04-08 01:14:44,31.4044,30.4164,60.8,82,20,5.75
167,Longyearbyen,SJ,2021-04-08 01:07:54,78.2186,15.6401,23.0,80,75,16.11
168,Strezhevoy,RU,2021-04-08 01:12:45,60.7333,77.5889,32.0,93,90,2.24
169,Sfantu Gheorghe,RO,2021-04-08 01:14:44,45.8667,25.7833,21.22,95,81,1.41
170,Petropavlovsk-Kamchatskiy,RU,2021-04-08 01:14:45,53.0452,158.6483,35.6,55,40,2.24
171,Cherskiy,RU,2021-04-08 01:07:41,68.75,161.3,-0.49,87,100,4.18
172,Tuatapere,NZ,2021-04-08 01:08:18,-46.1333,167.6833,64.99,61,15,3.0
173,Axim,GH,2021-04-08 01:14:45,4.8699,-2.2405,80.33,89,47,5.55
174,Avera,US,2021-04-08 01:14:46,33.194,-82.5271,71.6,49,1,7.38
175,Port-Gentil,GA,2021-04-08 01:14:46,-0.7193,8.7815,81.39,80,46,8.9
176,Bubaque,GW,2021-04-08 01:14:46,11.2833,-15.8333,77.52,78,20,12.44
